rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	deep_batch
370	US-SAM:d55a43cdd2d348c0a432be59e7f77d9f	SYSMEX QUALITY CONTROL KITS	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-24T21:00:00+00:00			LOW		uthorized distributor, for XN-L CHECK. The Government requires the Sysmex brand-name XN-L CHECK, Material No. 213569, 12 x 3.0 mL, three lev	batch-036.json
371	US-SAM:0abdd20be1024c98a8d65a54c6670717	Quantum Network pluggable 4-channel superconducting nanowire single-photon detector system	COMMERCE, DEPARTMENT OF	2026-08-19T16:00:00+00:00			LOW		) It □ is, □ is not a subsidiary of an inverted domestic corporation. FAR 52.212-2 Evaluation- Commercial Products and Commercial Services (	batch-037.json
372	LT-CVP:139908	Serverių ir superkompiuterių užsakymai per CPO LT elektroninį katalogą (seno CVP IS Nr. 660238)	Viešoji įstaiga CPO LT	2031-05-05T09:00:00+00:00	25000000.0	EUR	LOW			batch-037.json
373	TED:556662-2026	Czechia – Chromatographs – Kapalinový chromatograf s hmotnostním spektrometrem izotopových poměrů (LC IRMS)	Státní zemědělská a potravinářská inspekce	2026-09-21T09:00:00+02:00	6033000.0	CZK	LOW		OCUMENTS AUTHORIZED SECTION NEN ZAKÁZKY GOV Basic Information PROCUREMENT PROCEDURE NAME Kapalinový chromatograf s hmotnostním spektrometrem	batch-037.json
374	PL-BZP:08def21f-9669-f005-962b-1200010b748c	Przebudowa ul. Bzów w Kołobrzegu	Gmina Miasto Kołobrzeg	2026-08-24T07:30:00+00:00			LOW			batch-037.json
375	PL-BZP:08def458-a314-4e8f-962b-120001ebccc3	Odbudowa ul. Słowackiego zniszczonej w wyniku powodzi w 2024.	GMINA LĄDEK-ZDRÓJ	2026-08-24T07:00:00+00:00			LOW			batch-037.json
376	PL-BZP:08def46b-608e-e177-962b-120001d33f65	„Przebudowa drogi powiatowej 1499D na odcinku Stradomia Wierzchnia do Stradomia Dolna”	ZARZĄD DRÓG POWIATOWYCH W OLEŚNICY	2026-08-26T08:00:00+00:00			LOW		(badanie na kruszywie bazaltowym) % po- wierzch- ni NRa (0) NRa (0) ≥75 (2) 6. Pozostałość na sicie po 7 dniach magazynowan ia, sito 0,5 mm 	batch-037.json
377	TED:570758-2026	Poland – Call centre – Budowa i wdrożenie systemu teleinformatycznego - wielokanałowej platformy obsługi klienta	KOMENDA GŁÓWNA OCHOTNICZYCH HUFCÓW PRACY	2026-08-31T09:00:00+02:00	8882300.0	PLN	LOW			batch-037.json
378	UK_PCS_OCDS:rls-48-AUG561485	Provision of partner status to providers of Early Learning and Childcare - Dynamic Purchasing System	Clackmannanshire Council	2026-11-30T12:00:00+00:00	26787236.0	GBP	LOW			batch-037.json
379	UK_PCS_OCDS:rls-6-AUG562473	Shettleston Housing Association Ltd: Repairs & Maintenance Framework 2026/27 - 2028/29	TCS Construction Consultants	2026-09-18T12:00:00+00:00	3460000.0	GBP	LOW			batch-037.json
380	UK_PCS_OCDS:rls-48-JUL560730	ICT Network Contractor for Argyll and Bute Council	Argyll and Bute Council	2026-08-21T17:00:00+00:00	150000.0	GBP	LOW			batch-037.json
381	US-SAM:f402281d17124e39aa4a04a04a0788c4	761-27-1-014-0001 -Chelmsford CMOP MED/SURGE -(VA-27-00005024)	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-25T00:00:00+00:00			LOW		[SHEET Domestic Equivalents] Domestic Equivalent Products Questionnaire | | | | | | | | | | | | | | Please provide information for domestica	batch-038.json
382	US-SAM:c898c12afef74a6f9cca30045f0d076a	R499--(New) VISN-22 Project Management Information System SaaS (VA-26-00059514)	VETERANS AFFAIRS, DEPARTMENT OF	2026-11-24T00:00:00+00:00			LOW		lns:w="http://schemas.openxmlformats.org/wordprocessingml/2006/main"><w:optimizeForBrowser /><w:relyOnVML /><w:allowPNG /><w:pixelsPerInch w	batch-038.json
383	US-SAM:0b0f2cb2b8d944eebad6ab35060c6058	Ohio National Guard Aggregate Requirement Camp James A Garfield OH 26 AUG 2026	DEPT OF DEFENSE	2026-08-19T16:00:00+00:00			LOW	training-course	===== FILE: files/SOW_for_Aggregate_Updated_with_Map.docx ===== SCOPE OF WORK PROJECT DESCRIPTION: MDA Camp Garfield TY26 Project LOCATION: 	batch-038.json
384	US-SAM:ef912a7312624b509e72eb5d91fa9fe6	Vertiv Battery Hardware and UPS Preventive Maintenance BLDG N26	DEPT OF DEFENSE	2026-08-19T08:00:00+00:00			LOW		DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-038.json
385	TED:567697-2026	Poland – Exhibition, fair and congress organisation services – „KOMPLEKSOWA ORGANIZACJA UDZIAŁU W 14. TARGACH EKOSTYL W BIELSKU-BIAŁEJ”	Województwo Świętokrzyskie-Urząd Marszałkowski Województwa Świętokrzyskiego w Kielcach	2026-09-15T11:00:00+02:00			LOW		to"/></w:divBdr></w:div><w:div w:id="2049841895"><w:bodyDiv w:val="1"/><w:marLeft w:val="0"/><w:marRight w:val="0"/><w:marTop w:val="0"/><w:	batch-038.json
386	EE-RHR:6b2181ce-2fc2-4c3f-af4f-4a016f8c2806	Välijõusaali laiendusala ehitamine	Paide Linnavalitsus	2026-08-25T06:00:00+00:00			LOW		===== FILE: files/files_unpacked/314305_ESPD_v2.0_laiendatud.xml ===== <?xml version="1.0" encoding="UTF-8"?> <QualificationApplicationReque	batch-038.json
387	TED:552612-2026	Czechia – Alarm-monitoring services – Ochrana objektu 24. základny dopravního letectva Praha – Kbely a dohledového a přijímacího centra Velitelství ochranné směny Vojenské policie Praha – Kb	Ministerstvo obrany	2026-09-29T10:00:00+02:00			LOW		rana objektu 24. základny dopravního letectva Praha – Kbely a dohledového a přijímacího centra Velitelství ochranné směny Vojenské policie P	batch-038.json
388	US-SAM:637af00612634f85a9aef18ff2fcf993	DOJ Software as a Service (SaaS) log management / Security Information and Event Management (SIEM) solution	JUSTICE, DEPARTMENT OF	2026-08-29T03:59:00+00:00			LOW		41 USC 2101-2107. Purpose: The Department of Justice’s (DOJ) Justice Management Division (JMD) is seeking a Federal Risk and Authorization M	batch-038.json
389	US-SAM:e3ed31ca9afe47b49f102a399d7a3bd2	DA01--VA Enterprise Cloud Brokerage Service	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-31T19:00:00+00:00			LOW		agement, and limits the VA’s ability to ensure accurate chargeback, compliance, and forecasting. 1. Enterprise Cloud Credit Procurement Outc	batch-038.json
390	US-SAM:c11209b2727e4ed29926237ae67ea869	9 OSS (Base Ops) B1060 Carpet/Furniture/Asbestos	DEPT OF DEFENSE	2026-08-20T17:00:00+00:00			LOW		===== FILE: files/ROM--9_OSS_28Base_Ops_29_B1060_CarpetFurnitureAsbestos.xlsx ===== [SHEET Sheet1] 9 CONS | | | | | Rough Order Magnitude (R	batch-038.json
391	TED:567067-2026	Romania – Repair and maintenance services of generators – Servicii de mentenanta la echipamentele de tip UPS	UM 0929 Bucuresti	2026-09-23T15:00:00+03:00	939084.33	RON	LOW			batch-039.json
392	TED:560026-2026	Poland – Disposable catering supplies – Dostawa naczyń i sztućców biodegradowalnych jednorazowych	3 Regionalna Baza Logistyczna	2026-09-14T08:00:00+02:00			LOW			batch-039.json
393	PL-BZP:08def78d-2a29-e0e5-962b-12000107201c	Pełnienie funk. Insp. Nadzoru Inwest. dla zad.„Odbudowa boiska piłkarskiego, stadionu lekkoatletycznego i zaplecza sanit.-szatniowego na Stadionie Miejskim w Gł-zach, realiz. w systemie zapr	Gmina Głuchołazy	2026-08-19T08:00:00+00:00			LOW			batch-039.json
394	PL-BZP:08defd05-1ab7-57c8-962b-12000115c6d8	Wykonanie klimatyzacji w pomieszczeniach biurowych wybranych lokalizacji Wielkopolskiego OR ARiMR z zapewnieniem serwisu oraz przeglądów okresowych w trakcie trwania gwarancji.	Wielkopolski Oddział Regionalny Agencji Restrukturyzacji i Modernizacji Rolnictwa	2026-09-10T07:00:00+00:00			LOW			batch-039.json
395	PL-BZP:08defcf7-8778-2a97-962b-12000115c4d9	D/71/2026 - Sukcesywny zakup i dostawa profesjonalnych środków czystości na potrzeby jednostek Uniwersytetu Opolskiego	UNIWERSYTET OPOLSKI	2026-08-26T08:00:00+00:00			LOW			batch-039.json
396	PL-BZP:08defd08-e9c7-2589-962b-12000115c75a	Świadczenie usług w zakresie wykonywania napraw bieżących, konserwacji oraz okresowych przeglądów technicznych aparatury i sprzętu medycznego.	"SZPITAL POWIATOWY W JAROCINIE" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	2026-08-26T07:00:00+00:00			LOW			batch-039.json
397	PL-BZP:08defcfa-00f0-7d6c-962b-12000115c52d	Zakup przewoźnego agregatu prądotwórczego o mocy 250 kVA dla Komendy Miejskiej Państwowej Straży Pożarnej we Wrocław	Komenda Miejska Państwowej Straży Pożarnej we Wrocławiu	2026-08-26T09:00:00+00:00			LOW			batch-039.json
398	ZA_ETENDERS_OCDS:ocds-9t57fa-165355-2026-08-12	JW RFI 11/08/2026 MSC	Johannesburg Water	2026-08-19T12:00:00+00:00		ZAR	LOW		ion strategy to incorporate, non -firm prices, pricing schedule and special conditions of tender. 2. BACKGROUND Johannesburg Water invites s	batch-039.json
399	ZA_ETENDERS_OCDS:ocds-9t57fa-165693-2026-08-14	RFP/TVL/2026/10252452/13	South African Broadcasting Corporation Limited	2026-09-07T12:00:00+00:00		ZAR	LOW		===== FILE: files/ANNEXURE B Client Reference Letter Decbt Collection Agency Publish.docx ===== ANNEXURE B The Bidder is recommended to use 	batch-039.json
400	US-SAM:1772e7717dc642fbb4dc2fd5350cce90	USDA AI Feeder Cattle POC Phase III	AGRICULTURE, DEPARTMENT OF	2026-09-17T00:00:00+00:00			LOW		ods, and model pipelines created under Phase II, continuity of technical approach and vendor specific knowledge is necessary to meet the age	batch-039.json
401	US-SAM:fee08dab56cf44668fb125e2e3b61ae8	Recess Tie-Down Assembly	HOMELAND SECURITY, DEPARTMENT OF	2026-09-01T15:00:00+00:00			LOW		of Contract Claim (OCT 2004) FAR 52.247-34, F.O.B. Destination (JAN 1991) System updates may lag policy updates. The System for Award Manage	batch-040.json
402	US-SAM:26a7748435104f03a231783878f87e7f	TRANSMITTER PRESSURE	HOMELAND SECURITY, DEPARTMENT OF	2026-08-19T18:00:00+00:00			LOW		U.S. COAST GUARD JUSTIFICATION FOR OTHER THAN FULL AND OPEN COMPETITION SIMPLIFIED ACQUISITION PROCEDURES (SAP) FOR FAR 13.106-1(b) PURCHASE	batch-040.json
403	PL-BZP:08defc4a-b3fe-bb44-962b-12000115bd61	BUDOWA LINII KABLOWEJ nn-0,4kV OŚWIETLENIA ULICZNEGO W MALBORKU PRZY UL. GEN. WŁADYSŁAWA ANDERSA dz. nr 475/36 i 475/49 obr. Nr 0006	MIASTO MALBORK	2026-09-01T09:00:00+00:00			LOW			batch-040.json
404	TED:566938-2026	Poland – Servers – Dostawa dwunastu serwerów do środowiska PWPWCloud wraz z oprogramowaniem, licencjami, gwarancją oraz wsparciem technicznym	Polska Wytwórnia Papierów Wartościowych SA	2026-09-03T10:00:00+02:00			LOW		niki Assortment group: Test mode of awarding procedure: No Awarding procedure type: Open Legal type: Public (Proc Law) Method of awarding pu	batch-040.json
405	PL-BZP:08defc57-5d6a-4e37-962b-12000115bf4c	„Budowa świetlicy sołeckiej w miejscowości Turobów”- postępowanie II	GMINA CZERNIEWICE	2026-09-07T09:00:00+00:00			LOW			batch-040.json
406	PL-BZP:08defc5e-f709-e2ca-962b-12000115c04d	„Wykonanie remontu i przebudowy dróg gminnych”	Gmina Potworów	2026-09-02T08:00:00+00:00			LOW		zyczep-ność do kruszywa referencyjnego PN-EN 13614[19] (badanie na kruszywie bazaltowym) % po-wierzch- ni NRa (0) ≥75 (2) 6. Pozostałość na 	batch-040.json
407	PL-BZP:08defc3b-6cad-b79e-962b-1200014af5b7	Odnowa oznakowania poziomego dróg wojewódzkich na terenie działania RDW w Elblągu	Zarząd Dróg Wojewódzkich w Olsztynie	2026-09-02T07:00:00+00:00			LOW			batch-040.json
408	PL-BZP:08defc3b-370a-472a-962b-1200014af5ad	Dostawy taśm przenośników transportujących odpady oraz usługi klejenia i wulkanizacji taśm przenośnikowych	ZAKŁAD GOSPODARKI ODPADAMI KOMUNALNYMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	2026-08-27T07:00:00+00:00			LOW			batch-040.json
409	PL-BZP:08defc53-1f89-b2ac-962b-12000115beba	Świadczenie usług w zakresie odbioru, transportu i utylizacji odpadów medycznych dla SPZOZ w Węgrowie	SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W WĘGROWIE	2026-08-28T08:00:00+00:00			LOW			batch-040.json
410	PL-BZP:08def7af-8f6b-73f4-962b-120001dad260	„Przebudowa sieci wodociągowej z azbestocementu w ul. Łódzkiej w Poddębicach” w ramach projektu “Uporządkowanie gospodarki wodociągowej w Aglomeracji Poddębice”	MIEJSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI W PODDĘBICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	2026-08-26T07:45:00+00:00			LOW			batch-040.json
411	PL-BZP:08def6b8-0ae8-e068-962b-1200012683a5	Budowa chodnika przy drodze powiatowej Nr 2962L w Lipinach Górnych-Lewkach - ETAP I	GMINA POTOK GÓRNY	2026-08-25T08:00:00+00:00			LOW			batch-041.json
